system:time_start,BD
"Mar 1, 2018",1.441
"Dec 1, 2018",1.426
"Jan 1, 2019",1.423
"Feb 1, 2019",1.421
"Mar 1, 2019",1.428
"Apr 1, 2019",1.44
"May 1, 2019",1.446
"Jun 1, 2019",1.45
"Jul 1, 2019",1.432
"Aug 1, 2019",1.429
"Sep 1, 2019",1.412
"Oct 1, 2019",1.413
"Nov 1, 2019",1.426
"Dec 1, 2019",1.427
"Jan 1, 2020",1.417
"Feb 1, 2020",1.419
"Mar 1, 2020",1.425
"Apr 1, 2020",1.44
"May 1, 2020",1.443
"Jun 1, 2020",1.439
"Jul 1, 2020",1.409
"Aug 1, 2020",1.415
"Sep 1, 2020",1.413
"Oct 1, 2020",1.419
"Nov 1, 2020",1.429
"Dec 1, 2020",1.426
"Jan 1, 2021",1.423
"Feb 1, 2021",1.42
"Mar 1, 2021",1.427
"Apr 1, 2021",1.439
"May 1, 2021",1.446
"Jun 1, 2021",1.436
"Jul 1, 2021",1.411
"Aug 1, 2021",1.414
"Sep 1, 2021",1.411
"Oct 1, 2021",1.413
"Nov 1, 2021",1.424
"Dec 1, 2021",1.428
"Jan 1, 2022",1.425
"Feb 1, 2022",1.435
"Mar 1, 2022",1.44
"Apr 1, 2022",1.459
"May 1, 2022",1.461
"Jun 1, 2022",1.465
"Aug 1, 2022",1.428
"Sep 1, 2022",1.423
"Oct 1, 2022",1.432
"Nov 1, 2022",1.442
"Dec 1, 2022",1.442
"Jan 1, 2023",1.437
"Feb 1, 2023",1.437
"Mar 1, 2023",1.445
"Apr 1, 2023",1.459
"May 1, 2023",1.462
"Jun 1, 2023",1.466
"Aug 1, 2023",1.424
"Sep 1, 2023",1.433
"Oct 1, 2023",1.435
"Nov 1, 2023",1.443
"Dec 1, 2023",1.442
"Jan 1, 2024",1.441
"Feb 1, 2024",1.434
"Mar 1, 2024",1.44
"Apr 1, 2024",1.458
"May 1, 2024",1.462
"Jun 1, 2024",1.466
"Jul 1, 2024",1.43
"Sep 1, 2024",1.428
"Oct 1, 2024",1.434
"Nov 1, 2024",1.444
"Dec 1, 2024",1.445
