system:time_start,CEC
"Mar 1, 2018",12.011
"Dec 1, 2018",11.148
"Jan 1, 2019",11.288
"Feb 1, 2019",11.477
"Mar 1, 2019",11.196
"Apr 1, 2019",10.93
"May 1, 2019",10.99
"Jun 1, 2019",11.002
"Jul 1, 2019",11.189
"Aug 1, 2019",11.353
"Sep 1, 2019",11.539
"Oct 1, 2019",11.318
"Nov 1, 2019",11.029
"Dec 1, 2019",11.072
"Jan 1, 2020",11.463
"Feb 1, 2020",11.621
"Mar 1, 2020",11.172
"Apr 1, 2020",11.004
"May 1, 2020",11.136
"Jun 1, 2020",11.235
"Jul 1, 2020",11.435
"Aug 1, 2020",11.534
"Sep 1, 2020",11.609
"Oct 1, 2020",11.26
"Nov 1, 2020",11.004
"Dec 1, 2020",11.016
"Jan 1, 2021",11.16
"Feb 1, 2021",11.384
"Mar 1, 2021",11.206
"Apr 1, 2021",11.009
"May 1, 2021",11.052
"Jun 1, 2021",11.231
"Jul 1, 2021",11.386
"Aug 1, 2021",11.689
"Sep 1, 2021",11.36
"Oct 1, 2021",11.37
"Nov 1, 2021",11.147
"Dec 1, 2021",10.969
"Jan 1, 2022",11.685
"Feb 1, 2022",12.216
"Mar 1, 2022",11.914
"Apr 1, 2022",11.554
"May 1, 2022",11.672
"Jun 1, 2022",11.769
"Aug 1, 2022",11.952
"Sep 1, 2022",11.783
"Oct 1, 2022",12.052
"Nov 1, 2022",11.725
"Dec 1, 2022",11.69
"Jan 1, 2023",11.857
"Feb 1, 2023",12.049
"Mar 1, 2023",11.757
"Apr 1, 2023",11.581
"May 1, 2023",11.626
"Jun 1, 2023",11.717
"Aug 1, 2023",12.065
"Sep 1, 2023",12.234
"Oct 1, 2023",11.998
"Nov 1, 2023",11.708
"Dec 1, 2023",11.701
"Jan 1, 2024",11.818
"Feb 1, 2024",12.119
"Mar 1, 2024",11.938
"Apr 1, 2024",11.583
"May 1, 2024",11.628
"Jun 1, 2024",11.706
"Jul 1, 2024",11.938
"Sep 1, 2024",12.182
"Oct 1, 2024",12.067
"Nov 1, 2024",11.805
"Dec 1, 2024",11.577
