system:time_start,pH
"Mar 1, 2018",6.418
"Dec 1, 2018",6.445
"Jan 1, 2019",6.455
"Feb 1, 2019",6.431
"Mar 1, 2019",6.407
"Apr 1, 2019",6.386
"May 1, 2019",6.373
"Jun 1, 2019",6.367
"Jul 1, 2019",6.42
"Aug 1, 2019",6.413
"Sep 1, 2019",6.494
"Oct 1, 2019",6.484
"Nov 1, 2019",6.438
"Dec 1, 2019",6.447
"Jan 1, 2020",6.459
"Feb 1, 2020",6.433
"Mar 1, 2020",6.411
"Apr 1, 2020",6.378
"May 1, 2020",6.367
"Jun 1, 2020",6.388
"Jul 1, 2020",6.54
"Aug 1, 2020",6.445
"Sep 1, 2020",6.468
"Oct 1, 2020",6.44
"Nov 1, 2020",6.42
"Dec 1, 2020",6.44
"Jan 1, 2021",6.439
"Feb 1, 2021",6.434
"Mar 1, 2021",6.425
"Apr 1, 2021",6.401
"May 1, 2021",6.377
"Jun 1, 2021",6.39
"Jul 1, 2021",6.526
"Aug 1, 2021",6.457
"Sep 1, 2021",6.474
"Oct 1, 2021",6.468
"Nov 1, 2021",6.448
"Dec 1, 2021",6.437
"Jan 1, 2022",6.467
"Feb 1, 2022",6.434
"Mar 1, 2022",6.415
"Apr 1, 2022",6.365
"May 1, 2022",6.374
"Jun 1, 2022",6.348
"Aug 1, 2022",6.522
"Sep 1, 2022",6.547
"Oct 1, 2022",6.451
"Nov 1, 2022",6.426
"Dec 1, 2022",6.439
"Jan 1, 2023",6.441
"Feb 1, 2023",6.427
"Mar 1, 2023",6.406
"Apr 1, 2023",6.377
"May 1, 2023",6.364
"Jun 1, 2023",6.362
"Aug 1, 2023",6.508
"Sep 1, 2023",6.449
"Oct 1, 2023",6.436
"Nov 1, 2023",6.418
"Dec 1, 2023",6.429
"Jan 1, 2024",6.427
"Feb 1, 2024",6.447
"Mar 1, 2024",6.418
"Apr 1, 2024",6.377
"May 1, 2024",6.371
"Jun 1, 2024",6.358
"Jul 1, 2024",6.548
"Sep 1, 2024",6.484
"Oct 1, 2024",6.445
"Nov 1, 2024",6.422
"Dec 1, 2024",6.423
